display_name,value_key
"Cigna HealthCare of New Jersey, Inc.",cigna-healthcare-of-new-jersey-inc
"Cigna HealthCare of New York, Inc.",cigna-healthcare-of-new-york-inc
"Cigna HealthCare of North Carolina, Inc.",cigna-healthcare-of-north-carolina-inc
"Cigna HealthCare of Pennsylvania, Inc.",cigna-healthcare-of-pennsylvania-inc
"Cigna HealthCare of South Carolina, Inc.",cigna-healthcare-of-south-carolina-inc
"Cigna HealthCare of St Louis, Inc.",cigna-healthcare-of-st-louis-inc
"Cigna HealthCare of St. Louis, Inc",cigna-healthcare-of-st-louis-inc
"Cigna HealthCare of Tennessee, Inc",cigna-healthcare-of-tennessee-inc
"Cigna HealthCare of Texas, Inc.",cigna-healthcare-of-texas-inc
"Cigna HealthCare of Utah, Inc.",cigna-healthcare-of-utah-inc
"Cigna HealthCare-Pacific, Inc.",cigna-healthcare-pacific-inc
Cigna Healthcare,cigna-healthcare
Cigna Worldwide Insurance Company,cigna-worldwide-insurance-company
"Circulo Health of Ohio, Inc.",circulo-health-of-ohio-inc
"Citrus Health Care, Inc.",citrus-health-care-inc
City Bank & Trust Co,city-bank-and-trust-co
City of Duncanville,city-of-duncanville
City of Lakeland,city-of-lakeland
Clear Spring Health,clear-spring-health
Clever Care Health Plan,clever-care-health-plan
Clover Health,clover-health
CoOportunity Health,cooportunity-health
"Coast Aluminum and Architectural, Inc.",coast-aluminum-and-architectural-inc
Cold Spring Granite Company,cold-spring-granite-company
"Colorado Dental Service, Inc.",colorado-dental-service-inc
"Colorado Health Insurance Cooperative, Inc.",colorado-health-insurance-cooperative-inc
Colorado PACE,colorado-pace
Columbia United Providers,columbia-united-providers
Common Ground Healthcare Cooperative,common-ground-healthcare-cooperative
Commonwealth Care Alliance,commonwealth-care-alliance
Commonwealth Care Alliance Massachusetts,commonwealth-care-alliance-massachusetts
Communicare Advantage,communicare-advantage
Community Care,community-care
"Community Care Health Plan, Inc.",community-care-health-plan-inc
Community Care Health Plans of Nevada Inc,community-care-health-plans-of-nevada-inc
Community Care Network Inc,community-care-network-inc
Community First,community-first
"Community First Health Plans, Inc.",community-first-health-plans-inc
Community First Insurance Plans,community-first-insurance-plans
Community Health Alliance Mutual Insurance Company,community-health-alliance-mutual-insurance-company
Community Health Choice,community-health-choice
"Community Health Choice Texas, Inc.",community-health-choice-texas-inc
"Community Health Choice, Inc.",community-health-choice-inc
Community Health Group,community-health-group
Community Health Network of Washington,community-health-network-of-washington
Community Health Plan of WA Medicare Advantage,community-health-plan-of-wa-medicare-advantage
Community Health Plan of Washington,community-health-plan-of-washington
Community Insurance Company,community-insurance-company
Community Insurance Company(Anthem BCBS),community-insurance-company-anthem-bcbs
Community LIFE,community-life
"Community PACE at Home, Inc",community-pace-at-home-inc
CommunityCare HMO Inc.,communitycare-hmo-inc
"CommunityCare HMO, Inc.",communitycare-hmo-inc
CommunityCare Life & Health Insurance Co,communitycare-life-and-health-insurance-co
CommunityCare Life & Health Insurance Company,communitycare-life-and-health-insurance-company
CommunityCare Senior Health Plan (HMO),communitycare-senior-health-plan-hmo
Companion Life Insurance Company,companion-life-insurance-company
Companion Life Insurance Company of California,companion-life-insurance-company-of-california
Companion Life Insurance Company of NY,companion-life-insurance-company-of-ny
Compcare Health Serv Ins Co(Anthem BCBS),compcare-health-serv-ins-co-anthem-bcbs
Compcare Health Services Insurance Corporation,compcare-health-services-insurance-corporation
Complete Senior Care,complete-senior-care
"Comstock Resources, Inc.",comstock-resources-inc
Conair Corporation,conair-corporation
Concert Health Plan Insurance Company,concert-health-plan-insurance-company
Concorde Battery Corporation,concorde-battery-corporation
Confederated Tribes of Siletz Indians COHO Benefit,confederated-tribes-of-siletz-indians-coho-benefit
ConnectiCare,connecticare
"ConnectiCare Benefits, Inc.",connecticare-benefits-inc
"ConnectiCare Insurance Company, Inc.",connecticare-insurance-company-inc
"ConnectiCare of Massachusetts, Inc.",connecticare-of-massachusetts-inc
"ConnectiCare, Inc.",connecticare-inc
"ConnectiCare, Inc. & Affiliates",connecticare-inc-and-affiliates
Connecticut Carpenters Health Fund,connecticut-carpenters-health-fund
Connecticut General Life Insurance Co,connecticut-general-life-insurance-co
Connecticut General Life Insurance Company,connecticut-general-life-insurance-company
Conseco Life Insurance Company,conseco-life-insurance-company
Conseco Life Insurance Company of Texas,conseco-life-insurance-company-of-texas
Consolidated Assoc Of Railroad Employees Hc,consolidated-assoc-of-railroad-employees-hc
Consumers Life Insurance Company,consumers-life-insurance-company
Consumers Mutual Insurance of Michigan,consumers-mutual-insurance-of-michigan
Consumers' Choice Health Insurance Company,consumers-choice-health-insurance-company
Cook Childrens Health Plan,cook-childrens-health-plan
Coordinated Care Corporation,coordinated-care-corporation
Coordinated Care Corporation Indiana,coordinated-care-corporation-indiana
"Coordinated Care of Washington, Inc",coordinated-care-of-washington-inc
"Coordinated Health Mutual, Inc.",coordinated-health-mutual-inc
Corporate Benefits Service Inc,corporate-benefits-service-inc
Corsicana Bedding Inc,corsicana-bedding-inc
Cotton States Life Insurance Company,cotton-states-life-insurance-company
County of Santa Clara,county-of-santa-clara
"County of Ventura, dba Ventura County Health Care Plan",county-of-ventura-dba-ventura-county-health-care-plan
Coventry Health & Life Co.,coventry-health-and-life-co
Coventry Health & Life Insurance Co.,coventry-health-and-life-insurance-co
Coventry Health & Life Insurance Company,coventry-health-and-life-insurance-company
Coventry Health Care Of Kansas Inc,coventry-health-care-of-kansas-inc
"Coventry Health Care of Delaware, Inc.",coventry-health-care-of-delaware-inc
"Coventry Health Care of Florida, Inc.",coventry-health-care-of-florida-inc
"Coventry Health Care of Illinois, Inc.",coventry-health-care-of-illinois-inc
Coventry Health Care of Kansas,coventry-health-care-of-kansas
"Coventry Health Care of Kansas, Inc.",coventry-health-care-of-kansas-inc
"Coventry Health Care of Missouri, Inc.",coventry-health-care-of-missouri-inc
Coventry Health Care of Nebraska Inc.,coventry-health-care-of-nebraska-inc
"Coventry Health Care of Texas, Inc.",coventry-health-care-of-texas-inc
"Coventry Health Care of Virginia, Inc",coventry-health-care-of-virginia-inc
"Coventry Health Care of West Virginia, Inc.",coventry-health-care-of-west-virginia-inc
"Coventry Health Care of the Carolinas, Inc.",coventry-health-care-of-the-carolinas-inc
"Coventry Health Plan of Florida, Inc.",coventry-health-plan-of-florida-inc
Coventry Health and Life,coventry-health-and-life
Coventry Health and Life - TNARMS,coventry-health-and-life-tnarms
Coventry Health and Life Insurance Co.,coventry-health-and-life-insurance-co
"Cox Health Systems HMO, Inc.",cox-health-systems-hmo-inc
Cox Health Systems Insurance Company,cox-health-systems-insurance-company
Cox HealthPlans,cox-healthplans
CrestPoint Health Insurance Company,crestpoint-health-insurance-company
Crystal Run Health Insurance Company Inc.,crystal-run-health-insurance-company-inc
Crystal Run Health Plan LLC,crystal-run-health-plan-llc
"Cumulus Media, Inc.",cumulus-media-inc
Curative Insurance Company,curative-insurance-company
"Curtis Lumber Company, Inc.",curtis-lumber-company-inc
DECO Recovery Management LLC,deco-recovery-management-llc
"DENCAP Dental Plans, Inc.",dencap-dental-plans-inc
"DSM MASSACHUSETTS INSURANCE COMPANY, Inc",dsm-massachusetts-insurance-company-inc
"DST Systems, Inc.",dst-systems-inc
DUVAL ASPHALT PRODUCTS INC,duval-asphalt-products-inc
DYSART UNIFIED SCHOOL DISTRICT,dysart-unified-school-district
Daimler Trucks North America,daimler-trucks-north-america
Dallas Container Corp,dallas-container-corp
Davidson College,davidson-college
Dean Advantage,dean-advantage
Dean Health Plan,dean-health-plan
"Dean Health Plan, Inc",dean-health-plan-inc
"Dean Health Plan, Inc.",dean-health-plan-inc
Delaware American Life Insurance Company,delaware-american-life-insurance-company
Dell Marketing LP,dell-marketing-lp
Delsure Health Insurance Inc,delsure-health-insurance-inc
Delta County Memorial Hospital,delta-county-memorial-hospital
Delta Dental Insurance Company,delta-dental-insurance-company
"Delta Dental Plan of Arkansas, Inc.",delta-dental-plan-of-arkansas-inc
"Delta Dental Plan of Indiana, Inc.",delta-dental-plan-of-indiana-inc
"Delta Dental Plan of Michigan, Inc.",delta-dental-plan-of-michigan-inc
"Delta Dental Plan of New Hampshire, Inc.",delta-dental-plan-of-new-hampshire-inc
Delta Dental Plan of New Mexico,delta-dental-plan-of-new-mexico
"Delta Dental Plan of Ohio, Inc.",delta-dental-plan-of-ohio-inc
Delta Dental Plan of Oklahoma,delta-dental-plan-of-oklahoma
Delta Dental Plan of South Dakota,delta-dental-plan-of-south-dakota
Delta Dental Plan of Vermont Inc,delta-dental-plan-of-vermont-inc
Delta Dental Plan of Wyoming,delta-dental-plan-of-wyoming
Delta Dental of California,delta-dental-of-california
"Delta Dental of Delaware, Inc.",delta-dental-of-delaware-inc
Delta Dental of Idaho,delta-dental-of-idaho
Delta Dental of Illinois,delta-dental-of-illinois
Delta Dental of Iowa,delta-dental-of-iowa
"Delta Dental of Kansas, Inc.",delta-dental-of-kansas-inc
"Delta Dental of Kentucky, Inc.",delta-dental-of-kentucky-inc
Delta Dental of Minnesota,delta-dental-of-minnesota
Delta Dental of Missouri,delta-dental-of-missouri
Delta Dental of Nebraska,delta-dental-of-nebraska
"Delta Dental of New Jersey, Inc.",delta-dental-of-new-jersey-inc
"Delta Dental of New York, Inc.",delta-dental-of-new-york-inc
Delta Dental of North Carolina,delta-dental-of-north-carolina
Delta Dental of Rhode Island,delta-dental-of-rhode-island
Delta Dental of Tennessee,delta-dental-of-tennessee
Delta Dental of Virginia,delta-dental-of-virginia
Delta Dental of Washington,delta-dental-of-washington
Delta Dental of West Virginia,delta-dental-of-west-virginia
"Delta Dental of Wisconsin, Inc.",delta-dental-of-wisconsin-inc
Delta Dental of the District of Columbia,delta-dental-of-the-district-of-columbia
"DentaQuest Mid-Atlantic, Inc.",dentaquest-mid-atlantic-inc
"DentaQuest National Insurance Company, Inc.",dentaquest-national-insurance-company-inc
"DentaQuest USA Insurance Company, Inc.",dentaquest-usa-insurance-company-inc
"DentaQuest of Florida, Inc.",dentaquest-of-florida-inc
"Dental Care Plus, Inc.",dental-care-plus-inc
"Dental Choice, Inc.",dental-choice-inc
Dental Health Services,dental-health-services
"Dental Health Services, Inc.",dental-health-services-inc
"Dental Service of Massachusetts, Inc.",dental-service-of-massachusetts-inc
"Dentcare Delivery Systems, Inc.",dentcare-delivery-systems-inc
Dentegra Insurance Company,dentegra-insurance-company
Dentegra Insurance Company of New England,dentegra-insurance-company-of-new-england
"Denver Health Medical Plan, Inc",denver-health-medical-plan-inc
"Denver Health Medical Plan, Inc.",denver-health-medical-plan-inc
Deseret Mutual Insurance Company,deseret-mutual-insurance-company
Detroit Diesel Corporation,detroit-diesel-corporation
Devoted Health,devoted-health
Dewberry,dewberry
Direct General Life Insurance Company,direct-general-life-insurance-company
"Doctors HealthCare Plans, Inc.",doctors-healthcare-plans-inc
"Dominion Dental Services, Inc.",dominion-dental-services-inc
Dominion National Insurance Company,dominion-national-insurance-company
"Dominion USA, Inc.",dominion-usa-inc
"Doskocil Manufacturing Company, Inc",doskocil-manufacturing-company-inc
"Draeger Medical Systems, Inc",draeger-medical-systems-inc
"Dresser, Inc.",dresser-inc
Driscoll Health System,driscoll-health-system
"ELAN SOLUTIONS, INC.",elan-solutions-inc
EMI Health,emi-health
ERC,erc
ERICO International Corporation,erico-international-corporation
ESSENCE HEALTHCARE OF MINNESOTA CORPORATION,essence-healthcare-of-minnesota-corporation
Eddy SeniorCare,eddy-seniorcare
Educators Health Care,educators-health-care
"Educators Health Plans Health, Inc",educators-health-plans-health-inc
"Educators Health Plans Life, Accident, and Health",educators-health-plans-life-accident-and-health
"Educators Health Plans Life, Accident, and Health, Inc",educators-health-plans-life-accident-and-health-inc
Educators Mutual Insurance Association,educators-mutual-insurance-association
El Paso First Health Plans Inc.,el-paso-first-health-plans-inc
El Paso Health Medicare Advantage,el-paso-health-medicare-advantage
"Elder Service Plan of Harbor Health Services, Inc",elder-service-plan-of-harbor-health-services-inc
ElderONE an Affiliate of Rochester Regional Health,elderone-an-affiliate-of-rochester-regional-health
Elderhaus PACE,elderhaus-pace
Elderplan,elderplan
"Electricians Health & Welfare Plan, IBEW 995",electricians-health-and-welfare-plan-ibew-995
"Element Care, Inc",element-care-inc
Elementis Global LLC,elementis-global-llc
Elevate Medicare Advantage,elevate-medicare-advantage
EmblemHealth,emblemhealth
Empath LIFE,empath-life
Emphesys Insurance Company,emphesys-insurance-company
Empire Bank,empire-bank
"Empire Today, LLC",empire-today-llc
Employee Benefit Management Corp,employee-benefit-management-corp
"Employer Choice Insurance Company, Inc.",employer-choice-insurance-company-inc
Employers Dental Services,employers-dental-services
EnerSys Delaware Inc,enersys-delaware-inc
Engineered Machined Products,engineered-machined-products
Engineered Machined Products Greenfield,engineered-machined-products-greenfield
Enterprise Life Insurance Company,enterprise-life-insurance-company
Essence Healthcare,essence-healthcare
"Essence Healthcare, Inc",essence-healthcare-inc
Estes Express Lines,estes-express-lines
EverTrue PACE,evertrue-pace
"Everence Association, Inc",everence-association-inc
Everence Insurance Company,everence-insurance-company
"Evergreen Health Cooperative, Inc.",evergreen-health-cooperative-inc
Evolent Health LLC,evolent-health-llc
Evolver Issuer 30361,evolver-issuer-30361
Evonik Corporation,evonik-corporation
Excellus Health Plan Community Care LLC,excellus-health-plan-community-care-llc
"Excellus Health Plan, Inc",excellus-health-plan-inc
"Excellus Health Plan, Inc.",excellus-health-plan-inc
Experience Health,experience-health
Express Scripts Medicare,express-scripts-medicare
"FA Wilhelm Construction Co., Inc.",fa-wilhelm-construction-co-inc
FFE RR & Test Issuer 521,ffe-rr-and-test-issuer-521
FFE RR Test Issuer 500,ffe-rr-test-issuer-500
FFE RR Test Issuer 501,ffe-rr-test-issuer-501
FFE RR Test Issuer 502,ffe-rr-test-issuer-502
FFE RR Test Issuer 503,ffe-rr-test-issuer-503
FFE RR Test Issuer 504,ffe-rr-test-issuer-504
FFE RR Test Issuer 505,ffe-rr-test-issuer-505
FFE RR Test Issuer 506,ffe-rr-test-issuer-506
FFE RR Test Issuer 507,ffe-rr-test-issuer-507
FFE RR Test Issuer 508,ffe-rr-test-issuer-508
FFE RR Test Issuer 509,ffe-rr-test-issuer-509
FFE RR Test Issuer 511,ffe-rr-test-issuer-511
FFE RR Test Issuer 512,ffe-rr-test-issuer-512
FFE RR Test Issuer 513,ffe-rr-test-issuer-513
FFE RR Test Issuer 515,ffe-rr-test-issuer-515
FFE RR Test Issuer 516,ffe-rr-test-issuer-516
FFE RR Test Issuer 517,ffe-rr-test-issuer-517
FFE RR Test Issuer 518,ffe-rr-test-issuer-518
FFE RR Test Issuer 520,ffe-rr-test-issuer-520
FFE RR Test Issuer 522,ffe-rr-test-issuer-522
FFE RR Test Issuer 523,ffe-rr-test-issuer-523
FFE RR Test Issuer 524,ffe-rr-test-issuer-524
FFE RR Test Issuer 525,ffe-rr-test-issuer-525
FFE RR Test Issuer 527,ffe-rr-test-issuer-527
FFE RR Test Issuer 528,ffe-rr-test-issuer-528
FFE RR Test Issuer 529,ffe-rr-test-issuer-529
FFE RR Test Issuer 590,ffe-rr-test-issuer-590
FFE RR Test Issuer 596,ffe-rr-test-issuer-596
FFE RR Test Issuer 680,ffe-rr-test-issuer-680
FFE RR Test Issuer 681,ffe-rr-test-issuer-681
FFE RR Test Issuer 682,ffe-rr-test-issuer-682
FFE RR Test Issuer 683,ffe-rr-test-issuer-683
FFE RR Test Issuer 687,ffe-rr-test-issuer-687
FFE RR Test Issuer 692,ffe-rr-test-issuer-692
FIRST CHOICE VIP CARE PLUS,first-choice-vip-care-plus
FRIDAY HEALTH PLANS OF VIRGINIA INC,friday-health-plans-of-virginia-inc
Fallon Community Health Plan,fallon-community-health-plan
"Fallon Community Health Plan, Inc.",fallon-community-health-plan-inc
Fallon Health,fallon-health
Fallon Health & Life Assurance Company,fallon-health-and-life-assurance-company
Fallon Health Weinberg,fallon-health-weinberg
Fallon Health and Life Assurance Co.,fallon-health-and-life-assurance-co
Family Health Hawaii mbs,family-health-hawaii-mbs
"Family Health Network, Inc.",family-health-network-inc
Family Health-Center for Older Adults,family-health-center-for-older-adults
Family HealthCare Network PACE,family-healthcare-network-pace
Family Healthcare Network,family-healthcare-network
"FamilyCare Health Plans, Inc.",familycare-health-plans-inc
Farmers Investment Co.,farmers-investment-co
Federated Mutual Insurance Company,federated-mutual-insurance-company
Fenyx Health,fenyx-health
Fidelity Life Association A Legal Reserve Life Insurance Company,fidelity-life-association-a-legal-reserve-life-insurance-company
First Allmerica Financial Life Ins. Co,first-allmerica-financial-life-ins-co
First Central Bank,first-central-bank
First Choice VIP Care (HMO D-SNP),first-choice-vip-care-hmo-d-snp
First Commonwealth Insurance Company,first-commonwealth-insurance-company
First Commonwealth Limited Health Services Corporation,first-commonwealth-limited-health-services-corporation
First Commonwealth Limited Health Services Corporation of Michigan,first-commonwealth-limited-health-services-corporation-of-michigan
"First Commonwealth of Missouri, Inc.",first-commonwealth-of-missouri-inc
First Health Life & Health Insurance Co.,first-health-life-and-health-insurance-co
"First Medical Health Plan, Inc.",first-medical-health-plan-inc
First National Bank of St. Louis,first-national-bank-of-st-louis
First Priority Health,first-priority-health
"First Priority Life Insurance Company, Inc.",first-priority-life-insurance-company-inc
First Reliance Standard Life Insurance Company,first-reliance-standard-life-insurance-company
"First Source Employee Management, Inc",first-source-employee-management-inc
First United American Life Insurance Company,first-united-american-life-insurance-company
FirstCarolinaCare Insurance Company,firstcarolinacare-insurance-company
"FirstFleet, Inc.",firstfleet-inc
FirstMedicare Direct,firstmedicare-direct
"Flagship Health Systems, Inc.",flagship-health-systems-inc
Flatiron Construction Corporation,flatiron-construction-corporation
Florida Blue,florida-blue
Florida Blue HMO,florida-blue-hmo
Florida Combined Life Insurance Company,florida-combined-life-insurance-company
Florida Complete Care,florida-complete-care
"Florida Health Care Plan, Inc.",florida-health-care-plan-inc
Florida Health Solution HMO Company,florida-health-solution-hmo-company
"Florida Pace Centers, Inc.",florida-pace-centers-inc
Fogo de Chao,fogo-de-chao
Fort Knox Federal Credit Union,fort-knox-federal-credit-union
Franciscan Senior Health & Wellness,franciscan-senior-health-and-wellness
"Frank Miller Lumber Company, Inc.",frank-miller-lumber-company-inc
Frankenmuth Mutual Insurance Company,frankenmuth-mutual-insurance-company
"Freedom Health, Inc.",freedom-health-inc
Freedom Life Insurance,freedom-life-insurance
Freedom Life Insurance Company of America,freedom-life-insurance-company-of-america
"Freelancers CO-OP of New Jersey, Inc.",freelancers-co-op-of-new-jersey-inc
Freelancers Health Service Corporation d/b/a Health Republic Insurance of New York,freelancers-health-service-corporation-d-b-a-health-republic-insurance-of-new-york
"Freelancers Insurance Company, Inc.",freelancers-insurance-company-inc
Fresenius Medical Care- North America,fresenius-medical-care-north-america
Friday Health Insurance Company Inc,friday-health-insurance-company-inc
"Friday Health Plans of Colorado, Inc.",friday-health-plans-of-colorado-inc
"Friday Health Plans of Florida, Inc.",friday-health-plans-of-florida-inc
Friday Health Plans of Georgia Inc,friday-health-plans-of-georgia-inc
Friday Health Plans of Missouri Insurance Company Inc,friday-health-plans-of-missouri-insurance-company-inc
"Friday Health Plans of Nevada, Inc.",friday-health-plans-of-nevada-inc
Friday Health Plans of North Carolina Inc,friday-health-plans-of-north-carolina-inc
Friday Health Plans of Oklahoma Inc,friday-health-plans-of-oklahoma-inc
"Friday Health Plans of Pennsylvania, Inc.",friday-health-plans-of-pennsylvania-inc
"Friday Health Plans of Tennessee, Inc.",friday-health-plans-of-tennessee-inc
G6 Hospitality LLC,g6-hospitality-llc
"GEMCare Health Plan, Inc.",gemcare-health-plan-inc
"GF Insurance, LLC",gf-insurance-llc
"GFSI, Inc",gfsi-inc
GHI HMO an EmblemHealth Company,ghi-hmo-an-emblemhealth-company
GHMSI,ghmsi
"GHS Health Maintenance Organization, Inc. d/b/a Bl",ghs-health-maintenance-organization-inc-d-b-a-bl
"GMS Reinsurance Company, LTD",gms-reinsurance-company-ltd
"GOLDEN DENTAL PLANS, INC.",golden-dental-plans-inc
GTECH Corporatopn,gtech-corporatopn
Garrett County Memorial Hospital,garrett-county-memorial-hospital
Gary and Mary West PACE,gary-and-mary-west-pace
Geisinger Gold,geisinger-gold
Geisinger Health Plan,geisinger-health-plan
Geisinger Indemnity Insurance Company,geisinger-indemnity-insurance-company
Geisinger Quality Options,geisinger-quality-options
"Geisinger Quality Options, Inc.",geisinger-quality-options-inc
General American Life Insurance Company,general-american-life-insurance-company
"Generations Healthcare, Inc.",generations-healthcare-inc
Georgia Health Advantage,georgia-health-advantage
Georgia Health Marketplace LLC,georgia-health-marketplace-llc
Gilbert Hospital,gilbert-hospital
GlobalHealth,globalhealth
"GlobalHealth, Inc.",globalhealth-inc
Globe Life and Accident Insurance Co,globe-life-and-accident-insurance-co
Gold Kidney Health Plan,gold-kidney-health-plan
Golden Rule Insurance Company,golden-rule-insurance-company
Golden State Medicare Health Plan,golden-state-medicare-health-plan
"Good Health HMO, Inc. dba Blue Care",good-health-hmo-inc-dba-blue-care
Grand Valley Health Plan,grand-valley-health-plan
Granite Alliance,granite-alliance
Graphic Arts Benefit Corporation,graphic-arts-benefit-corporation
Great Lakes PACE,great-lakes-pace
Great Plains Medicare Advantage,great-plains-medicare-advantage
Great Southern Life Insurance Company,great-southern-life-insurance-company
"Group Administrators, Ltd.",group-administrators-ltd
Group Benefit Services Inc.,group-benefit-services-inc
Group Health Cooperative of Eau Claire,group-health-cooperative-of-eau-claire
Group Health Cooperative of South Central Wisconsin,group-health-cooperative-of-south-central-wisconsin
Group Health Incorporated,group-health-incorporated
"Group Health Plan, Inc.",group-health-plan-inc
Group Hospitalization and Medical Services Inc.,group-hospitalization-and-medical-services-inc
Guarantee Trust Life Insurance Co.,guarantee-trust-life-insurance-co
Guarantee Trust Life Insurance Company,guarantee-trust-life-insurance-company
Guardian Life Insurance Company of America,guardian-life-insurance-company-of-america
H&E Equipment Services,h-and-e-equipment-services
HAP CareSource,hap-caresource
HAP CareSource MI Health Link,hap-caresource-mi-health-link
HAP Senior Plus,hap-senior-plus
HAP Senior Plus (PPO),hap-senior-plus-ppo
"HBD Industries, Inc.",hbd-industries-inc
HCC Life Insurance Company,hcc-life-insurance-company
HD Supply,hd-supply
HEALTH PLAN OF SAN MATEO,health-plan-of-san-mateo
HEALTHCHOICE of MICHIGAN,healthchoice-of-michigan
HIP Insurance Company of New York,hip-insurance-company-of-new-york
HM Health Insurance Company,hm-health-insurance-company
HM Life Insurance Company,hm-life-insurance-company
HM Life Insurance Company of New York,hm-life-insurance-company-of-new-york
"HMO Colorado, Inc.",hmo-colorado-inc
"HMO Colorado, Inc., dba HMO Nevada",hmo-colorado-inc-dba-hmo-nevada
"HMO Louisiana, Inc.",hmo-louisiana-inc
HMO Minnesota dba Blue Plus,hmo-minnesota-dba-blue-plus
"HMO Missouri, Inc.",hmo-missouri-inc
"HMO Missouri, Inc.(Anthem BCBS)",hmo-missouri-inc-anthem-bcbs
"HMO Partners, Inc.",hmo-partners-inc
HMSA Akamai Advantage,hmsa-akamai-advantage
HMSAs Medicare Rx Plan,hmsas-medicare-rx-plan
"HOMETOWN HEALTH PLAN, INC",hometown-health-plan-inc
HOMETOWN HEALTH PROVIDERS INS. CO. INC.,hometown-health-providers-ins-co-inc
HPHC Insurance Company Inc.,hphc-insurance-company-inc
"HPHC Insurance Company, Inc",hphc-insurance-company-inc
"HPHC Insurance Company, Inc.",hphc-insurance-company-inc
Habitat Health Sacramento,habitat-health-sacramento
"Hamaspik, Inc.",hamaspik-inc
"Hamilton Storage Technologies, Inc.",hamilton-storage-technologies-inc
Harbor Health Insurance Company,harbor-health-insurance-company
"Harbor Health Plan, Inc.",harbor-health-plan-inc
Harken Health Insurance Company,harken-health-insurance-company
Hartford Life & Accident Insurance Company,hartford-life-and-accident-insurance-company
Harvard Pilgrim Health Care Inc.,harvard-pilgrim-health-care-inc
"Harvard Pilgrim Health Care of Connecticut, Inc.",harvard-pilgrim-health-care-of-connecticut-inc
Harvard Pilgrim Health Care of NE,harvard-pilgrim-health-care-of-ne
"Harvard Pilgrim Health Care of New England, Inc.",harvard-pilgrim-health-care-of-new-england-inc
"Harvard Pilgrim Health Care, Inc.",harvard-pilgrim-health-care-inc
Harvest Land Cooperative,harvest-land-cooperative
Hawaii Dental Service,hawaii-dental-service
Hawaii Medical Assurance Association,hawaii-medical-assurance-association
Hawaii Medical Service Association,hawaii-medical-service-association
"Health Access Pueblo, Inc",health-access-pueblo-inc
"Health Alliance Connect, Inc.",health-alliance-connect-inc
"Health Alliance Medical Plans, Inc.",health-alliance-medical-plans-inc
Health Alliance Medicare,health-alliance-medicare
Health Alliance Midwest Inc.,health-alliance-midwest-inc
"Health Alliance Midwest, Inc.",health-alliance-midwest-inc
Health Alliance Northwest Health Plan,health-alliance-northwest-health-plan
Health Alliance Plan (HAP),health-alliance-plan-hap
Health Care Service Corp. (HCSC),health-care-service-corp-hcsc
Health Choice Arizona Inc,health-choice-arizona-inc
Health Choice Insurance Co.,health-choice-insurance-co
"Health First Commercial Plans, Inc.",health-first-commercial-plans-inc
"Health First Government Plans, Inc.",health-first-government-plans-inc
"Health First Health Plans, Inc.",health-first-health-plans-inc
"Health First Insurance, Inc.",health-first-insurance-inc
Health Insurance Plan of Greater New York,health-insurance-plan-of-greater-new-york
Health Matters of Central Oregon,health-matters-of-central-oregon
Health Net Community Solutions of Arizona Inc,health-net-community-solutions-of-arizona-inc
"Health Net Health Plan of Oregon, Inc",health-net-health-plan-of-oregon-inc
"Health Net Health Plan of Oregon, Inc.",health-net-health-plan-of-oregon-inc
"Health Net Insurance of New York, Inc.",health-net-insurance-of-new-york-inc
Health Net Life Insurance Company,health-net-life-insurance-company
"Health Net of Arizona, Inc",health-net-of-arizona-inc
"Health Net of Arizona, Inc.",health-net-of-arizona-inc
"Health Net of California, Inc",health-net-of-california-inc
"Health Net of Connecticut, Inc.",health-net-of-connecticut-inc
"Health Net of New York, Inc.",health-net-of-new-york-inc
Health New England Medicare Advantage Plans,health-new-england-medicare-advantage-plans
"Health New England, Inc.",health-new-england-inc
"Health Options, Inc.",health-options-inc
Health Partners of Philadelphia Inc.,health-partners-of-philadelphia-inc
"Health Plan of Nevada, Inc.",health-plan-of-nevada-inc
Health Plan of San Joaquin Joint Powers Authority,health-plan-of-san-joaquin-joint-powers-authority
Health Republic Insurance Company,health-republic-insurance-company
Health Resources of Ohio Inc,health-resources-of-ohio-inc
"Health Resources, Inc.",health-resources-inc
Health Tradition Health Plan,health-tradition-health-plan
"HealthAmerica Pennsylvania, Inc",healthamerica-pennsylvania-inc
"HealthAmerica Pennsylvania, Inc.",healthamerica-pennsylvania-inc
"HealthAssurance PA, Inc",healthassurance-pa-inc
"HealthKeepers, Inc.",healthkeepers-inc
"HealthLink HMO, Inc.",healthlink-hmo-inc
HealthMatters of Central Oregon,healthmatters-of-central-oregon
HealthNet of New Jersey Inc.,healthnet-of-new-jersey-inc
HealthNow New York Inc.,healthnow-new-york-inc
HealthPartners,healthpartners
"HealthPartners Administrators, Inc.",healthpartners-administrators-inc
HealthPartners Insurance Company,healthpartners-insurance-company
"HealthPartners UnityPoint Health, Inc.",healthpartners-unitypoint-health-inc
"HealthPartners, Inc.",healthpartners-inc
HealthPlan Services,healthplan-services
HealthPlus Insurance Company,healthplus-insurance-company
"HealthPlus Partners, Inc.",healthplus-partners-inc
HealthPlus of Michigan,healthplus-of-michigan
"HealthPlus of Michigan, Inc.",healthplus-of-michigan-inc
HealthSpan,healthspan
HealthSpan Integrated Care,healthspan-integrated-care
"HealthSpring of Alabama, Inc.",healthspring-of-alabama-inc
"HealthSpring of TN, Inc",healthspring-of-tn-inc
"HealthSpring of Tennessee, Inc.",healthspring-of-tennessee-inc
