display_name,value_key
"AmeriHealth Caritas VIP Next, Inc.",amerihealth-caritas-vip-next-inc
"AmeriHealth HMO, Inc.",amerihealth-hmo-inc
AmeriHealth Ins Company of New Jersey,amerihealth-ins-company-of-new-jersey
American Alternative Insurance Corp,american-alternative-insurance-corp
American Family Insurance,american-family-insurance
American Family Insurance Company,american-family-insurance-company
American Family Life Assurance Company of Columbus,american-family-life-assurance-company-of-columbus
American Family Life Assurance Company of New York,american-family-life-assurance-company-of-new-york
American Family Mutual Insurance Company,american-family-mutual-insurance-company
American General Life Insurance Company,american-general-life-insurance-company
American General Life and Accident,american-general-life-and-accident
American General Life and Accident Insurance Company,american-general-life-and-accident-insurance-company
American Health Advantage of Florida,american-health-advantage-of-florida
American Health Advantage of Indiana,american-health-advantage-of-indiana
American Health Advantage of Louisiana,american-health-advantage-of-louisiana
American Health Advantage of MS,american-health-advantage-of-ms
American Health Advantage of Missouri,american-health-advantage-of-missouri
American Health Advantage of Oklahoma,american-health-advantage-of-oklahoma
American Health Advantage of Pennsylvania,american-health-advantage-of-pennsylvania
American Health Advantage of Tennessee,american-health-advantage-of-tennessee
American Health Advantage of Texas,american-health-advantage-of-texas
American Health Advantage of Utah,american-health-advantage-of-utah
American Heritage Life Insurance Company,american-heritage-life-insurance-company
American Income Life Insurance Co,american-income-life-insurance-co
American Medical Security Life Ins Co,american-medical-security-life-ins-co
American Medical Security Life Insurance Company,american-medical-security-life-insurance-company
American National Insurance Company,american-national-insurance-company
American National Life Insurance Company of Texas,american-national-life-insurance-company-of-texas
American Progressive Life & Health Insurance Compa,american-progressive-life-and-health-insurance-compa
American Progressive Life & Health Insurance Company of New York,american-progressive-life-and-health-insurance-company-of-new-york
American Republic Insurance Company,american-republic-insurance-company
American Sentinel Insurance Company,american-sentinel-insurance-company
American Shipping & Logistics Group Inc.,american-shipping-and-logistics-group-inc
American Specialty Health Insurance Company,american-specialty-health-insurance-company
"American Specialty Health Plans of California, Inc.",american-specialty-health-plans-of-california-inc
American States Insurance Company,american-states-insurance-company
American Underwriters Life Insurance Company,american-underwriters-life-insurance-company
"Amerigroup Texas, Inc.",amerigroup-texas-inc
Amerihealth Caritas Iowa,amerihealth-caritas-iowa
Ameritas Life Insurance Corp.,ameritas-life-insurance-corp
Ameritas Life Insurance Corp. Of NY,ameritas-life-insurance-corp-of-ny
