display_name,category,parent_brand,value_key,payer_id,notes
Aetna Health Inc. (a NJ corp.),Commercial,Aetna,aetna-health-inc-a-nj-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Inc. (a NY corp.),Commercial,Aetna,aetna-health-inc-a-ny-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Inc. (a PA corp.),Commercial,Aetna,aetna-health-inc-a-pa-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Inc. (a TX corp.),Commercial,Aetna,aetna-health-inc-a-tx-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Aetna Health Inc., a Georgia Corp",Commercial,Aetna,aetna-health-inc-a-georgia-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Insurance Company,Commercial,Aetna,aetna-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Insurance Company of New York,Commercial,Aetna,aetna-health-insurance-company-of-new-york,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health and Life Insurance Company,Commercial,Aetna,aetna-health-and-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health of California Inc.,Commercial,Aetna,aetna-health-of-california-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health of Iowa Inc.,Commercial,Aetna,aetna-health-of-iowa-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health of Utah Inc.,Commercial,Aetna,aetna-health-of-utah-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Aetna HealthAssurance Pennsylvania, Inc.",Commercial,Aetna,aetna-healthassurance-pennsylvania-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Life Insurance Company,Commercial,Aetna,aetna-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Medicare,Medicare Advantage,Aetna,aetna-medicare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Affiliated Foods Cooperative Inc,Commercial,,affiliated-foods-cooperative-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Affinity Health Plan, Inc.",Commercial,,affinity-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AgeRight Advantage,Medicare Advantage,,ageright-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AgeWell PACE,Medicare Advantage,,agewell-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Al Warren Oil Co., Inc.",Commercial,,al-warren-oil-co-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Alameda Alliance Joint Powers Authority,Commercial,,alameda-alliance-joint-powers-authority,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Align Senior Care,Medicare Advantage,,align-senior-care,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
