display_name,category,parent_brand,value_key,payer_id,notes
Community Health Plan of WA Medicare Advantage,Medicare Advantage,,community-health-plan-of-wa-medicare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Community Health Plan of Washington,Commercial,,community-health-plan-of-washington,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Community Insurance Company,Commercial,,community-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Community Insurance Company(Anthem BCBS),Commercial,Anthem Blue Cross Blue Shield,community-insurance-company-anthem-bcbs,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Community LIFE,Medicare Advantage,,community-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Community PACE at Home, Inc",Medicare Advantage,,community-pace-at-home-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
CommunityCare HMO Inc.,Commercial,,communitycare-hmo-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"CommunityCare HMO, Inc.",Commercial,,communitycare-hmo-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
CommunityCare Life & Health Insurance Co,Commercial,,communitycare-life-and-health-insurance-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
CommunityCare Life & Health Insurance Company,Commercial,,communitycare-life-and-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
CommunityCare Senior Health Plan (HMO),Medicare Advantage,,communitycare-senior-health-plan-hmo,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Companion Life Insurance Company,Commercial,,companion-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Companion Life Insurance Company of California,Commercial,,companion-life-insurance-company-of-california,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Companion Life Insurance Company of NY,Commercial,,companion-life-insurance-company-of-ny,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Compcare Health Serv Ins Co(Anthem BCBS),Commercial,Anthem Blue Cross Blue Shield,compcare-health-serv-ins-co-anthem-bcbs,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Compcare Health Services Insurance Corporation,Commercial,,compcare-health-services-insurance-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Complete Senior Care,Medicare Advantage,,complete-senior-care,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Comstock Resources, Inc.",Commercial,,comstock-resources-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Conair Corporation,Commercial,,conair-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Concert Health Plan Insurance Company,Commercial,,concert-health-plan-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Concorde Battery Corporation,Commercial,,concorde-battery-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Confederated Tribes of Siletz Indians COHO Benefit,Commercial,,confederated-tribes-of-siletz-indians-coho-benefit,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ConnectiCare,Medicare Advantage,ConnectiCare,connecticare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ConnectiCare Benefits, Inc.",Commercial,ConnectiCare,connecticare-benefits-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ConnectiCare Insurance Company, Inc.",Commercial,ConnectiCare,connecticare-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ConnectiCare of Massachusetts, Inc.",Commercial,ConnectiCare,connecticare-of-massachusetts-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ConnectiCare, Inc.",Commercial,ConnectiCare,connecticare-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ConnectiCare, Inc. & Affiliates",Commercial,ConnectiCare,connecticare-inc-and-affiliates,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Connecticut Carpenters Health Fund,Commercial,,connecticut-carpenters-health-fund,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Connecticut General Life Insurance Co,Commercial,,connecticut-general-life-insurance-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Connecticut General Life Insurance Company,Commercial,,connecticut-general-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Conseco Life Insurance Company,Commercial,,conseco-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Conseco Life Insurance Company of Texas,Commercial,,conseco-life-insurance-company-of-texas,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Consolidated Assoc Of Railroad Employees Hc,Medicare Advantage,,consolidated-assoc-of-railroad-employees-hc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Consumers Life Insurance Company,Commercial,,consumers-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Consumers Mutual Insurance of Michigan,Commercial,,consumers-mutual-insurance-of-michigan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Consumers' Choice Health Insurance Company,Commercial,,consumers-choice-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Cook Childrens Health Plan,Commercial,,cook-childrens-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coordinated Care Corporation,Commercial,,coordinated-care-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coordinated Care Corporation Indiana,Commercial,,coordinated-care-corporation-indiana,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coordinated Care of Washington, Inc",Commercial,,coordinated-care-of-washington-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coordinated Health Mutual, Inc.",Commercial,,coordinated-health-mutual-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Corporate Benefits Service Inc,Commercial,,corporate-benefits-service-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Corsicana Bedding Inc,Commercial,,corsicana-bedding-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Cotton States Life Insurance Company,Commercial,,cotton-states-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
County of Santa Clara,Commercial,,county-of-santa-clara,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"County of Ventura, dba Ventura County Health Care Plan",Commercial,,county-of-ventura-dba-ventura-county-health-care-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health & Life Co.,Commercial,Aetna,coventry-health-and-life-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health & Life Insurance Co.,Commercial,Aetna,coventry-health-and-life-insurance-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health & Life Insurance Company,Commercial,Aetna,coventry-health-and-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health Care Of Kansas Inc,Commercial,Aetna,coventry-health-care-of-kansas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Delaware, Inc.",Commercial,Aetna,coventry-health-care-of-delaware-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Florida, Inc.",Commercial,Aetna,coventry-health-care-of-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Illinois, Inc.",Commercial,Aetna,coventry-health-care-of-illinois-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health Care of Kansas,Commercial,Aetna,coventry-health-care-of-kansas,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Kansas, Inc.",Commercial,Aetna,coventry-health-care-of-kansas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Missouri, Inc.",Commercial,Aetna,coventry-health-care-of-missouri-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health Care of Nebraska Inc.,Commercial,Aetna,coventry-health-care-of-nebraska-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Texas, Inc.",Commercial,Aetna,coventry-health-care-of-texas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of Virginia, Inc",Commercial,Aetna,coventry-health-care-of-virginia-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of West Virginia, Inc.",Commercial,Aetna,coventry-health-care-of-west-virginia-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Care of the Carolinas, Inc.",Commercial,Aetna,coventry-health-care-of-the-carolinas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Coventry Health Plan of Florida, Inc.",Commercial,Aetna,coventry-health-plan-of-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health and Life,Commercial,Aetna,coventry-health-and-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health and Life - TNARMS,Commercial,Aetna,coventry-health-and-life-tnarms,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Coventry Health and Life Insurance Co.,Commercial,Aetna,coventry-health-and-life-insurance-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Cox Health Systems HMO, Inc.",Commercial,,cox-health-systems-hmo-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Cox Health Systems Insurance Company,Commercial,,cox-health-systems-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Cox HealthPlans,Medicare Advantage,,cox-healthplans,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
CrestPoint Health Insurance Company,Commercial,,crestpoint-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Crystal Run Health Insurance Company Inc.,Commercial,,crystal-run-health-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Crystal Run Health Plan LLC,Commercial,,crystal-run-health-plan-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Cumulus Media, Inc.",Commercial,,cumulus-media-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Curative Insurance Company,Commercial,,curative-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Curtis Lumber Company, Inc.",Commercial,,curtis-lumber-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
DECO Recovery Management LLC,Commercial,,deco-recovery-management-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DENCAP Dental Plans, Inc.",Commercial,,dencap-dental-plans-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DSM MASSACHUSETTS INSURANCE COMPANY, Inc",Commercial,,dsm-massachusetts-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DST Systems, Inc.",Commercial,,dst-systems-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
DUVAL ASPHALT PRODUCTS INC,Commercial,,duval-asphalt-products-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
DYSART UNIFIED SCHOOL DISTRICT,Commercial,,dysart-unified-school-district,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Daimler Trucks North America,Commercial,,daimler-trucks-north-america,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dallas Container Corp,Commercial,,dallas-container-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Davidson College,Commercial,,davidson-college,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dean Advantage,Medicare Advantage,,dean-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dean Health Plan,Commercial,,dean-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dean Health Plan, Inc",Commercial,,dean-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dean Health Plan, Inc.",Medicare Advantage,,dean-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delaware American Life Insurance Company,Commercial,,delaware-american-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dell Marketing LP,Commercial,,dell-marketing-lp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delsure Health Insurance Inc,Commercial,,delsure-health-insurance-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta County Memorial Hospital,Commercial,,delta-county-memorial-hospital,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental Insurance Company,Commercial,,delta-dental-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental Plan of Arkansas, Inc.",Commercial,,delta-dental-plan-of-arkansas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental Plan of Indiana, Inc.",Commercial,,delta-dental-plan-of-indiana-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental Plan of Michigan, Inc.",Commercial,,delta-dental-plan-of-michigan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental Plan of New Hampshire, Inc.",Commercial,,delta-dental-plan-of-new-hampshire-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental Plan of New Mexico,Commercial,,delta-dental-plan-of-new-mexico,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental Plan of Ohio, Inc.",Commercial,,delta-dental-plan-of-ohio-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental Plan of Oklahoma,Commercial,,delta-dental-plan-of-oklahoma,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental Plan of South Dakota,Commercial,,delta-dental-plan-of-south-dakota,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental Plan of Vermont Inc,Commercial,,delta-dental-plan-of-vermont-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental Plan of Wyoming,Commercial,,delta-dental-plan-of-wyoming,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of California,Commercial,,delta-dental-of-california,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental of Delaware, Inc.",Commercial,,delta-dental-of-delaware-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Idaho,Commercial,,delta-dental-of-idaho,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Illinois,Commercial,,delta-dental-of-illinois,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Iowa,Commercial,,delta-dental-of-iowa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental of Kansas, Inc.",Commercial,,delta-dental-of-kansas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental of Kentucky, Inc.",Commercial,,delta-dental-of-kentucky-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Minnesota,Commercial,,delta-dental-of-minnesota,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Missouri,Commercial,,delta-dental-of-missouri,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Nebraska,Commercial,,delta-dental-of-nebraska,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental of New Jersey, Inc.",Commercial,,delta-dental-of-new-jersey-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental of New York, Inc.",Commercial,,delta-dental-of-new-york-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of North Carolina,Commercial,,delta-dental-of-north-carolina,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Rhode Island,Commercial,,delta-dental-of-rhode-island,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Tennessee,Commercial,,delta-dental-of-tennessee,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Virginia,Commercial,,delta-dental-of-virginia,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of Washington,Commercial,,delta-dental-of-washington,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of West Virginia,Commercial,,delta-dental-of-west-virginia,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Delta Dental of Wisconsin, Inc.",Commercial,,delta-dental-of-wisconsin-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Delta Dental of the District of Columbia,Commercial,,delta-dental-of-the-district-of-columbia,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DentaQuest Mid-Atlantic, Inc.",Commercial,,dentaquest-mid-atlantic-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DentaQuest National Insurance Company, Inc.",Commercial,,dentaquest-national-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DentaQuest USA Insurance Company, Inc.",Commercial,,dentaquest-usa-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"DentaQuest of Florida, Inc.",Commercial,,dentaquest-of-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dental Care Plus, Inc.",Commercial,,dental-care-plus-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dental Choice, Inc.",Commercial,,dental-choice-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dental Health Services,Commercial,,dental-health-services,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dental Health Services, Inc.",Commercial,,dental-health-services-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dental Service of Massachusetts, Inc.",Commercial,,dental-service-of-massachusetts-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dentcare Delivery Systems, Inc.",Commercial,,dentcare-delivery-systems-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dentegra Insurance Company,Commercial,,dentegra-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dentegra Insurance Company of New England,Commercial,,dentegra-insurance-company-of-new-england,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Denver Health Medical Plan, Inc",Commercial,,denver-health-medical-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Denver Health Medical Plan, Inc.",Commercial,,denver-health-medical-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Deseret Mutual Insurance Company,Commercial,,deseret-mutual-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Detroit Diesel Corporation,Commercial,,detroit-diesel-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Devoted Health,Medicare Advantage,,devoted-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dewberry,Commercial,,dewberry,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Direct General Life Insurance Company,Commercial,,direct-general-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Doctors HealthCare Plans, Inc.",Medicare Advantage,,doctors-healthcare-plans-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dominion Dental Services, Inc.",Commercial,,dominion-dental-services-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Dominion National Insurance Company,Commercial,,dominion-national-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dominion USA, Inc.",Commercial,,dominion-usa-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Doskocil Manufacturing Company, Inc",Commercial,,doskocil-manufacturing-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Draeger Medical Systems, Inc",Commercial,,draeger-medical-systems-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Dresser, Inc.",Commercial,,dresser-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Driscoll Health System,Commercial,,driscoll-health-system,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ELAN SOLUTIONS, INC.",Commercial,,elan-solutions-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
EMI Health,Medicare Advantage,,emi-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ERC,Commercial,,erc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ERICO International Corporation,Commercial,,erico-international-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ESSENCE HEALTHCARE OF MINNESOTA CORPORATION,Commercial,,essence-healthcare-of-minnesota-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Eddy SeniorCare,Medicare Advantage,,eddy-seniorcare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Educators Health Care,Commercial,,educators-health-care,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Educators Health Plans Health, Inc",Commercial,,educators-health-plans-health-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Educators Health Plans Life, Accident, and Health",Commercial,,educators-health-plans-life-accident-and-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Educators Health Plans Life, Accident, and Health, Inc",Commercial,,educators-health-plans-life-accident-and-health-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Educators Mutual Insurance Association,Commercial,,educators-mutual-insurance-association,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
El Paso First Health Plans Inc.,Commercial,,el-paso-first-health-plans-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
El Paso Health Medicare Advantage,Medicare Advantage,,el-paso-health-medicare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Elder Service Plan of Harbor Health Services, Inc",Medicare Advantage,,elder-service-plan-of-harbor-health-services-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ElderONE an Affiliate of Rochester Regional Health,Medicare Advantage,,elderone-an-affiliate-of-rochester-regional-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Elderhaus PACE,Medicare Advantage,,elderhaus-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Elderplan,Medicare Advantage,,elderplan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Electricians Health & Welfare Plan, IBEW 995",Commercial,,electricians-health-and-welfare-plan-ibew-995,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Element Care, Inc",Medicare Advantage,,element-care-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Elementis Global LLC,Commercial,,elementis-global-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Elevate Medicare Advantage,Medicare Advantage,,elevate-medicare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
EmblemHealth,Medicare Advantage,EmblemHealth,emblemhealth,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Empath LIFE,Medicare Advantage,,empath-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Emphesys Insurance Company,Commercial,,emphesys-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Empire Bank,Commercial,,empire-bank,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Empire Today, LLC",Commercial,,empire-today-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Employee Benefit Management Corp,Commercial,,employee-benefit-management-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Employer Choice Insurance Company, Inc.",Commercial,,employer-choice-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Employers Dental Services,Commercial,,employers-dental-services,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
EnerSys Delaware Inc,Commercial,,enersys-delaware-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Engineered Machined Products,Commercial,,engineered-machined-products,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Engineered Machined Products Greenfield,Commercial,,engineered-machined-products-greenfield,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Enterprise Life Insurance Company,Commercial,,enterprise-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Essence Healthcare,Medicare Advantage,,essence-healthcare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Essence Healthcare, Inc",Commercial,,essence-healthcare-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Estes Express Lines,Commercial,,estes-express-lines,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
EverTrue PACE,Medicare Advantage,,evertrue-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Everence Association, Inc",Commercial,,everence-association-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Everence Insurance Company,Commercial,,everence-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Evergreen Health Cooperative, Inc.",Commercial,,evergreen-health-cooperative-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Evolent Health LLC,Commercial,,evolent-health-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Evolver Issuer 30361,Commercial,,evolver-issuer-30361,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Evonik Corporation,Commercial,,evonik-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Excellus Health Plan Community Care LLC,Commercial,,excellus-health-plan-community-care-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Excellus Health Plan Community Care LLC,Medicare Advantage,,excellus-health-plan-community-care-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Excellus Health Plan, Inc",Medicare Advantage,,excellus-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Excellus Health Plan, Inc.",Commercial,,excellus-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Experience Health,Medicare Advantage,,experience-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Express Scripts Medicare,Medicare Advantage,Medicare,express-scripts-medicare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"FA Wilhelm Construction Co., Inc.",Commercial,,fa-wilhelm-construction-co-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR & Test Issuer 521,Commercial,,ffe-rr-and-test-issuer-521,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 500,Commercial,,ffe-rr-test-issuer-500,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 501,Commercial,,ffe-rr-test-issuer-501,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 502,Commercial,,ffe-rr-test-issuer-502,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 503,Commercial,,ffe-rr-test-issuer-503,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 504,Commercial,,ffe-rr-test-issuer-504,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 505,Commercial,,ffe-rr-test-issuer-505,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 506,Commercial,,ffe-rr-test-issuer-506,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 507,Commercial,,ffe-rr-test-issuer-507,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 508,Commercial,,ffe-rr-test-issuer-508,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 509,Commercial,,ffe-rr-test-issuer-509,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 511,Commercial,,ffe-rr-test-issuer-511,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
FFE RR Test Issuer 512,Commercial,,ffe-rr-test-issuer-512,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
